Ticker,Cluster
ABBV,1
ACN,1
ADM,1
AIG,1
ALLE,1
AMAT,0
AMCR,1
AMT,1
AON,1
AVGO,0
AWK,1
AZO,1
BDX,1
BEN,0
BLDR,0
BX,0
CCI,1
CI,1
CINF,1
CL,1
CMCSA,1
CMI,0
CRH,0
CSCO,1
CVNA,0
CVS,1
CVX,1
DLTR,1
DRI,1
DTE,1
EG,1
ELV,1
EMR,0
EQIX,1
ETR,1
FANG,1
FCX,0
FFIV,0
FITB,0
FIX,0
GEN,1
GNRC,0
GOOG,0
GPC,1
HIG,1
HOLX,1
HST,0
HUBS,0
HWM,0
INTC,0
IQV,1
JBHT,1
JKHY,1
KDP,1
KLAC,0
KVUE,1
LEN,1
LMT,1
MA,1
MCD,1
MCK,1
MLM,0
MO,1
MSCI,1
MSI,1
MTD,1
NEE,1
NFLX,0
NOC,1
NXPI,0
O,1
ORLY,1
OXY,1
PAYX,1
PGR,1
PNW,1
PPG,1
PTC,0
RJF,0
ROK,0
ROST,1
RVTY,1
SPG,1
STZ,1
SWK,0
T,1
TEL,0
TFC,0
TMO,1
TSLA,0
UBER,0
VLO,1
VRSK,1
VRSN,1
VZ,1
WAT,1
WEC,1
WFC,0
WMT,1
WY,1
