Ticker,Cluster
AMAT,0
BLDR,0
BX,0
AVGO,0
CMI,0
CVNA,0
CRH,0
INTC,0
HWM,0
GNRC,0
HUBS,0
GOOG,0
FCX,0
FFIV,0
FIX,0
EMR,0
KLAC,0
SWK,0
UBER,0
TSLA,0
TEL,0
ROK,0
NXPI,0
NFLX,0
AMT,1
BEN,1
BDX,1
CCI,1
CL,1
CINF,1
AWK,1
AIG,1
ELV,1
EG,1
DTE,1
DRI,1
DLTR,1
CVX,1
CVS,1
CSCO,1
CI,1
CMCSA,1
FITB,1
GEN,1
GPC,1
EQIX,1
ETR,1
FANG,1
HST,1
HOLX,1
HIG,1
IQV,1
JBHT,1
JKHY,1
KDP,1
KVUE,1
LEN,1
AMCR,1
ALLE,1
AON,1
AZO,1
ABBV,1
ADM,1
ACN,1
MSCI,1
MO,1
MLM,1
MCK,1
MCD,1
MA,1
LMT,1
MTD,1
ORLY,1
OXY,1
PGR,1
PAYX,1
NEE,1
NOC,1
O,1
MSI,1
RJF,1
PTC,1
PPG,1
PNW,1
STZ,1
SPG,1
ROST,1
RVTY,1
TFC,1
T,1
TMO,1
VLO,1
VRSK,1
VRSN,1
VZ,1
WAT,1
WEC,1
WFC,1
WMT,1
WY,1
