Ticker,Style_Cluster,PE,DE,Yield
ABBV,0,12.9211855,75.137,3.33
ACN,0,12.026563,25.469,3.63
ADM,0,14.350336,42.376,2.98
AIG,0,8.697541,24.408,2.34
ALLE,0,15.254784,104.0,1.44
AMAT,0,28.704376,33.108,0.53
AMCR,0,9.350805,138.731,6.32
AMT,0,25.86187,434.211,3.84
AON,0,14.618399,168.318,0.95
AVGO,1,20.827295,82.704,0.7
AWK,0,20.862093,146.987,2.41
AZO,0,19.635761,75.137,2.25
BDX,0,11.416295,77.284,2.72
BEN,0,8.563551,24.587,5.3
BLDR,0,11.24763,117.187,2.25
BX,0,14.896292,66.531,4.13
CCI,0,29.428516,75.137,4.93
CI,0,8.109688,75.137,2.3
CINF,0,17.48536,5.568,2.2
CL,0,20.52183,2343.562,2.51
CMCSA,0,7.2444034,107.863,4.73
CMI,0,19.558752,60.516,1.27
CRH,0,17.855494,77.341,1.27
CSCO,0,18.214485,66.509,2.04
CVNA,1,31.843077,133.119,2.25
CVS,0,9.706516,106.06,3.35
CVX,0,17.902191,24.323,3.78
DLTR,0,13.453194,187.904,2.25
DRI,0,16.9183,387.681,3.12
DTE,0,18.005186,213.601,3.01
EG,0,5.4153333,24.481,2.43
ELV,0,10.603211,74.388,2.21
EMR,0,20.114529,69.283,1.54
EQIX,0,58.628902,160.291,1.87
ETR,0,23.610762,181.79,2.2
FANG,0,12.160452,33.784,2.23
FCX,0,17.119743,34.103,0.88
FFIV,0,17.258371,7.566,2.25
FITB,0,10.065319,75.137,3.24
FIX,1,36.324028,45.489,0.14
GEN,0,6.2347307,363.379,2.79
GNRC,0,19.800228,52.479,2.25
GOOG,0,23.503838,16.133,0.27
GPC,0,12.631132,156.063,3.95
HIG,0,9.463355,23.937,1.75
HOLX,0,15.636701,48.051,2.25
HST,0,20.826223,83.779,3.97
HUBS,0,12.587601,12.695,2.25
HWM,0,45.2273,60.022,0.18
INTC,0,61.351746,37.282,2.25
IQV,0,11.879662,245.928,2.25
JBHT,0,25.778322,48.26,0.79
JKHY,0,21.047695,3.109,1.6
KDP,0,10.521231,75.384,3.46
KLAC,0,36.334637,111.778,0.44
KVUE,0,14.384494,80.576,4.78
LEN,0,11.505774,24.992,2.25
LMT,0,19.148602,338.804,2.2
MA,0,22.003014,256.042,0.7
MCD,0,21.282312,75.137,2.43
MCK,0,19.612295,75.137,0.38
MLM,0,26.890919,59.866,0.53
MO,0,11.598284,75.137,6.29
MSCI,0,24.365376,75.137,1.53
MSI,0,23.807981,402.39,1.12
MTD,0,25.881792,75.137,2.25
NEE,0,21.50818,146.242,2.65
NFLX,0,26.640358,63.782,2.25
NOC,0,22.328999,107.257,1.37
NXPI,0,12.194779,119.711,1.98
O,0,36.31113,73.505,5.07
ORLY,0,26.07952,75.137,2.25
OXY,0,16.904917,63.804,1.79
PAYX,0,14.497689,124.91,5.05
PGR,0,12.047318,23.421,7.16
PNW,0,18.443575,201.771,3.51
PPG,0,12.878097,97.592,2.57
PTC,0,16.130787,35.942,2.25
RJF,0,10.892744,46.262,1.48
ROK,0,28.83267,99.289,1.39
ROST,0,27.346006,84.241,0.8
RVTY,0,14.964477,46.869,0.31
SPG,0,29.015553,435.463,4.31
STZ,0,13.22984,126.012,2.48
SWK,0,11.395657,70.024,4.6
T,0,10.39988,124.179,4.2
TEL,0,18.552504,45.691,1.27
TFC,0,9.697557,75.137,4.19
TMO,0,18.22761,77.255,0.35
TSLA,1,127.808815,17.763,2.25
UBER,0,16.416046,43.806,2.25
VLO,0,14.453774,43.988,2.01
VRSK,0,19.118286,1581.795,1.22
VRSN,0,25.368,75.137,1.25
VZ,0,8.76163,174.78,6.15
WAT,0,19.564207,60.282,2.25
WEC,0,19.55968,159.331,3.24
WFC,0,10.778719,75.137,2.11
WMT,0,38.593735,64.443,0.78
WY,0,35.772877,60.694,3.41
